"heritEstimate"|"heritSE"|"heritP"|"geneExp"|"subPop"|"covs"|"VIF"|"SE"
0,999999|1,075577|0,070315|"HLA-DPA1"|"NAfr"|"Lab+Sex"|"1.11"|0,0568460108251146
0,999999|1,074977|0,049368|"HLA-DPA1"|"NAfr"|"Lab"|"1.11"|0,0568142998397597
0,999996|0,581194|0,5|"HLA-DPB1"|"Full"|"Lab+Sex"|"1.11"|0,0275512378904176
0,999996|0,579882|0,5|"HLA-DPB1"|"Full"|"Lab"|"1.11"|0,0274890431256536
0,38059|0,162691|7,0937e-12|"HLA-DPB1"|"Geuvadis"|"Lab+Sex"|"1.11"|0,0077122930443706
0,381445|0,162797|6,8548e-12|"HLA-DPB1"|"Geuvadis"|"Lab"|"1.11"|0,00771731792627989
0,999999|0,716912|0,00011321|"HLA-DPB1"|"NAfr"|"Lab+Sex"|"1.11"|0,0378899765545885
0,999999|0,713094|0,00010214|"HLA-DPB1"|"NAfr"|"Lab"|"1.11"|0,0376881889844468
0,563966|0,597559|8,3227e-06|"HLA-DQA1"|"Full"|"Lab+Sex"|"1.11"|0,0283270132908462
0,560842|0,592303|8,0234e-06|"HLA-DQA1"|"Full"|"Lab"|"1.11"|0,0280778549954198
0,21017|0,130622|2,3648e-05|"HLA-DQA1"|"Geuvadis"|"Lab+Sex"|"1.11"|0,00619207664862701
0,209042|0,129793|2,3157e-05|"HLA-DQA1"|"Geuvadis"|"Lab"|"1.11"|0,00615277827973271
0,999999|1,188302|0,31444|"HLA-DQA1"|"NAfr"|"Lab+Sex"|"1.11"|0,0628037121986667
0,999999|1,185087|0,32097|"HLA-DQA1"|"NAfr"|"Lab"|"1.11"|0,0626337941688067
0,999998|1,161952|0,5|"HLA-DQB1"|"Full"|"Lab+Sex"|"1.11"|0,0550818073986423
0,999998|1,181316|0,11708|"HLA-DQB1"|"Full"|"Lab"|"1.11"|0,0559997490334665
0,062028|0,107924|0,18253|"HLA-DQB1"|"Geuvadis"|"Lab+Sex"|"1.11"|0,00511608825639189
0,064303|0,108298|0,17106|"HLA-DQB1"|"Geuvadis"|"Lab"|"1.11"|0,00513381755671333
0,999999|1,163747|0,037465|"HLA-DQB1"|"NAfr"|"Lab"|"1.11"|0,0615059401230174
0,999995|0,626134|0,5|"HLA-DRA"|"Full"|"Lab+Sex"|"1.11"|0,0296815982017686
0,999995|0,624997|0,5|"HLA-DRA"|"Full"|"Lab"|"1.11"|0,0296276992326096
0,079037|0,092192|0,044049|"HLA-DRA"|"Geuvadis"|"Lab+Sex"|"1.11"|0,00437031993378008
0,079086|0,092235|0,04406|"HLA-DRA"|"Geuvadis"|"Lab"|"1.11"|0,00437235832927158
0,999999|0,752572|0,00014313|"HLA-DRA"|"NAfr"|"Lab+Sex"|"1.11"|0,0397746661175148
0,999999|0,751295|0,0001907|"HLA-DRA"|"NAfr"|"Lab"|"1.11"|0,0397071745703511
0,999997|0,694273|5,8641e-10|"HLA-DRB1"|"Full"|"Lab+Sex"|"1.11"|0,0329116965830581
0,999997|0,694416|3,6741e-10|"HLA-DRB1"|"Full"|"Lab"|"1.11"|0,032918475433181
0,640901|0,20082|7,2164e-16|"HLA-DRB1"|"Geuvadis"|"Lab+Sex"|"1.11"|0,00951978099077702
0,64182|0,200714|6,1062e-16|"HLA-DRB1"|"Geuvadis"|"Lab"|"1.11"|0,00951475610886774
0,999999|0,849692|0,00065772|"HLA-DRB1"|"NAfr"|"Lab+Sex"|"1.11"|0,0449076176136281
0,999999|0,846071|0,00070175|"HLA-DRB1"|"NAfr"|"Lab"|"1.11"|0,0447162418170113
0,484884|0,553473|0,00068116|"HLA-A"|"Full"|"Lab+Sex"|"2.5"|0,0262371364620473
0,490702|0,558032|0,00061939|"HLA-A"|"Full"|"Lab"|"2.5"|0,0264532537886928
0,585456|0,210589|5,2999e-06|"HLA-A"|"Geuvadis"|"Lab+Sex"|"2.5"|0,00998287600371847
0,575606|0,209257|5,4102e-06|"HLA-A"|"Geuvadis"|"Lab"|"2.5"|0,00991973314802822
0,984234|1,032274|0,169|"HLA-A"|"NAfr"|"Lab+Sex"|"2.5"|0,0545573761604091
0,813849|1,010942|0,21727|"HLA-A"|"NAfr"|"Lab"|"2.5"|0,0534299449277579
0,224772|0,279089|0,0040807|"HLA-B"|"Full"|"Lab+Sex"|"2.5"|0,0132300874262273
0,217087|0,2675|0,0039784|"HLA-B"|"Full"|"Lab"|"2.5"|0,0126807161389944
0,140218|0,124761|0,0051968|"HLA-B"|"Geuvadis"|"Lab+Sex"|"2.5"|0,00591423860268067
0,138501|0,123006|0,0049757|"HLA-B"|"Geuvadis"|"Lab"|"2.5"|0,0058310436238996
2e-06|0,710592|0,5|"HLA-B"|"NAfr"|"Lab+Sex"|"2.5"|0,0375559541755168
2e-06|0,753083|0,5|"HLA-B"|"NAfr"|"Lab"|"2.5"|0,0398016733067087
0,370858|0,466377|0,0025571|"HLA-C"|"Full"|"Lab+Sex"|"2.5"|0,0221083900962833
0,392895|0,491359|0,0025103|"HLA-C"|"Full"|"Lab"|"2.5"|0,0232926504722996
0,615915|0,212858|8,6356e-06|"HLA-C"|"Geuvadis"|"Lab+Sex"|"2.5"|0,0100904369193049
0,622033|0,211877|6,9218e-06|"HLA-C"|"Geuvadis"|"Lab"|"2.5"|0,0100439330593709
0,999999|1,200441|0,086147|"HLA-C"|"NAfr"|"Lab+Sex"|"2.5"|0,0634452782840386
0,999999|1,190817|0,051253|"HLA-C"|"NAfr"|"Lab"|"2.5"|0,062936634078946
0,891988|0,972802|0,00040852|"HLA-DPA1"|"Full"|"Lab+Sex"|"2.5"|0,0461152374633496
0,916583|0,995772|0,00042927|"HLA-DPA1"|"Full"|"Lab"|"2.5"|0,0472041198921821
0,086605|0,079415|0,0060531|"HLA-DPA1"|"Geuvadis"|"Lab+Sex"|"2.5"|0,00376463204552613
0,085912|0,07923|0,0064317|"HLA-DPA1"|"Geuvadis"|"Lab"|"2.5"|0,00375586220445804
0,999999|1,044855|0,034638|"HLA-DPA1"|"NAfr"|"Lab+Sex"|"2.5"|0,0552223026716592
0,999999|1,044108|0,036421|"HLA-DPA1"|"NAfr"|"Lab"|"2.5"|0,0551828224948923
0,999997|0,582939|0,00027435|"HLA-DPB1"|"Full"|"Lab+Sex"|"2.5"|0,0276339588237355
0,999997|0,58159|0,0002903|"HLA-DPB1"|"Full"|"Lab"|"2.5"|0,0275700100907579
0,37812|0,168287|3,8946e-12|"HLA-DPB1"|"Geuvadis"|"Lab+Sex"|"2.5"|0,00797756888554373
0,378912|0,168395|3,7717e-12|"HLA-DPB1"|"Geuvadis"|"Lab"|"2.5"|0,00798268857654565
0,999999|0,712775|0,00012225|"HLA-DPB1"|"NAfr"|"Lab+Sex"|"2.5"|0,0376713293105664
0,999999|0,709353|0,00012663|"HLA-DPB1"|"NAfr"|"Lab"|"2.5"|0,037490470990759
0,591447|0,625029|5,5999e-06|"HLA-DQA1"|"Full"|"Lab+Sex"|"2.5"|0,0296292161780917
0,583038|0,613564|5,427e-06|"HLA-DQA1"|"Full"|"Lab"|"2.5"|0,0290857230546017
0,208342|0,134723|1,6015e-05|"HLA-DQA1"|"Geuvadis"|"Lab+Sex"|"2.5"|0,00638648269306072
0,207182|0,133832|1,5636e-05|"HLA-DQA1"|"Geuvadis"|"Lab"|"2.5"|0,00634424524229494
0,999999|1,172915|0,084807|"HLA-DQA1"|"NAfr"|"Lab+Sex"|"2.5"|0,0619904839792403
0,999999|1,171422|0,05584|"HLA-DQA1"|"NAfr"|"Lab"|"2.5"|0,0619115764773488
0,999998|1,028781|0,5|"HLA-DQB1"|"Full"|"Lab+Sex"|"2.5"|0,0487688965614609
0,999998|1,035344|0,5|"HLA-DQB1"|"Full"|"Lab"|"2.5"|0,0490800125989197
0,063204|0,109648|0,17065|"HLA-DQB1"|"Geuvadis"|"Lab+Sex"|"2.5"|0,00519781369423722
0,065765|0,110484|0,15895|"HLA-DQB1"|"Geuvadis"|"Lab"|"2.5"|0,00523744389495572
0,999999|1,140512|0,049457|"HLA-DQB1"|"NAfr"|"Lab+Sex"|"2.5"|0,0602779322151488
0,999999|1,135731|0,03154|"HLA-DQB1"|"NAfr"|"Lab"|"2.5"|0,0600252485135125
0,999997|0,6624|0,5|"HLA-DRA"|"Full"|"Lab+Sex"|"2.5"|0,0314007714783921
0,999997|0,661091|0,5|"HLA-DRA"|"Full"|"Lab"|"2.5"|0,0313387189272671
0,077809|0,091546|0,037196|"HLA-DRA"|"Geuvadis"|"Lab+Sex"|"2.5"|0,00433969659686124
0,077842|0,091579|0,037223|"HLA-DRA"|"Geuvadis"|"Lab"|"2.5"|0,0043412609468896
0,999999|0,749841|0,00014626|"HLA-DRA"|"NAfr"|"Lab+Sex"|"2.5"|0,0396303282825077
0,999999|0,748847|0,00017163|"HLA-DRA"|"NAfr"|"Lab"|"2.5"|0,0395777937501031
0,999997|0,628814|6,8506e-09|"HLA-DRB1"|"Full"|"Lab+Sex"|"2.5"|0,0298086423858902
0,999997|0,62846|4,5286e-09|"HLA-DRB1"|"Full"|"Lab"|"2.5"|0,029791861176495
0,664393|0,209952|3,3307e-16|"HLA-DRB1"|"Geuvadis"|"Lab+Sex"|"2.5"|0,00995267930771645
0,665324|0,209825|3,3307e-16|"HLA-DRB1"|"Geuvadis"|"Lab"|"2.5"|0,00994665893033457
0,999999|0,844926|0,00033622|"HLA-DRB1"|"NAfr"|"Lab+Sex"|"2.5"|0,0446557266866257
0,999999|0,841741|0,00044117|"HLA-DRB1"|"NAfr"|"Lab"|"2.5"|0,0444873942060334
0,950124|0,744149|0,00015155|"HLA-A"|"Full"|"Lab+Sex"|"5"|0,0352760457350151
0,946242|0,73939|0,0001391|"HLA-A"|"Full"|"Lab"|"5"|0,0350504474991068
0,553783|0,19722|4,6589e-06|"HLA-A"|"Geuvadis"|"Lab+Sex"|"5"|0,00934912462404663
0,544919|0,196031|4,7229e-06|"HLA-A"|"Geuvadis"|"Lab"|"5"|0,00929276061847929
0,999999|0,985605|0,051323|"HLA-A"|"NAfr"|"Lab+Sex"|"5"|0,0520908428678626
0,966002|0,972359|0,16485|"HLA-A"|"NAfr"|"Lab"|"5"|0,0513907700145109
0,197739|0,236329|0,0041416|"HLA-B"|"Full"|"Lab+Sex"|"5"|0,0112030690258408
0,192031|0,228125|0,0040104|"HLA-B"|"Full"|"Lab"|"5"|0,0108141621278807
0,127455|0,114646|0,0051418|"HLA-B"|"Geuvadis"|"Lab+Sex"|"5"|0,00543474161671458
0,12609|0,113136|0,0049028|"HLA-B"|"Geuvadis"|"Lab"|"5"|0,00536316075178045
2e-06|0,702357|0,5|"HLA-B"|"NAfr"|"Lab+Sex"|"5"|0,0371207209015208
2e-06|0,742669|0,5|"HLA-B"|"NAfr"|"Lab"|"5"|0,0392512763042321
0,953994|0,772872|0,00054441|"HLA-C"|"Full"|"Lab+Sex"|"5"|0,036637646518792
0,999998|0,790905|0,00048329|"HLA-C"|"Full"|"Lab"|"5"|0,0374924927024724
0,581679|0,199206|7,6925e-06|"HLA-C"|"Geuvadis"|"Lab+Sex"|"5"|0,00944327005302623
0,58742|0,198318|6,1646e-06|"HLA-C"|"Geuvadis"|"Lab"|"5"|0,0094011748158994
0,999999|1,141296|0,071956|"HLA-C"|"NAfr"|"Lab+Sex"|"5"|0,0603193679026792
0,999999|1,134998|0,10305|"HLA-C"|"NAfr"|"Lab"|"5"|0,0599865082597373
0,270144|0,311727|0,001071|"HLA-DPA1"|"Full"|"Lab+Sex"|"5"|0,0147772770088236
0,269429|0,312159|0,0011454|"HLA-DPA1"|"Full"|"Lab"|"5"|0,0147977557728312
0,078605|0,072191|0,0057984|"HLA-DPA1"|"Geuvadis"|"Lab+Sex"|"5"|0,00342218160295381
0,077929|0,071991|0,0061707|"HLA-DPA1"|"Geuvadis"|"Lab"|"5"|0,00341270069369101
0,999999|1,002507|0,050943|"HLA-DPA1"|"NAfr"|"Lab+Sex"|"5"|0,0529841413253102
0,999999|1,001287|0,059958|"HLA-DPA1"|"NAfr"|"Lab"|"5"|0,0529196623217553
0,999998|0,575789|5,8096e-12|"HLA-DPB1"|"Full"|"Lab+Sex"|"5"|0,0272950163175904
0,999998|0,574543|5,8764e-12|"HLA-DPB1"|"Full"|"Lab"|"5"|0,0272359502528832
0,334162|0,152673|4,872e-12|"HLA-DPB1"|"Geuvadis"|"Lab+Sex"|"5"|0,00723739429939697
0,334696|0,152737|4,742e-12|"HLA-DPB1"|"Geuvadis"|"Lab"|"5"|0,00724042819036107
0,999999|0,699906|0,00010141|"HLA-DPB1"|"NAfr"|"Lab+Sex"|"5"|0,036991181526346
0,999999|0,697005|9,6987e-05|"HLA-DPB1"|"NAfr"|"Lab"|"5"|0,0368378589121551
0,4569|0,440605|5,8917e-06|"HLA-DQA1"|"Full"|"Lab+Sex"|"5"|0,020886680128679
0,451684|0,434229|5,7103e-06|"HLA-DQA1"|"Full"|"Lab"|"5"|0,0205844287413809
0,190493|0,124316|1,4949e-05|"HLA-DQA1"|"Geuvadis"|"Lab+Sex"|"5"|0,00589314357957094
0,189518|0,123541|1,4571e-05|"HLA-DQA1"|"Geuvadis"|"Lab"|"5"|0,00585640505617759
0,999999|1,124326|0,12433|"HLA-DQA1"|"NAfr"|"Lab+Sex"|"5"|0,0594224755335581
0,999999|1,123908|0,045559|"HLA-DQA1"|"NAfr"|"Lab"|"5"|0,0594003835470942
0,895308|0,83544|0,070063|"HLA-DQB1"|"Full"|"Lab+Sex"|"5"|0,0396036541725663
0,829347|0,796931|0,070385|"HLA-DQB1"|"Full"|"Lab"|"5"|0,0377781524985605
0,055801|0,098404|0,1723|"HLA-DQB1"|"Geuvadis"|"Lab+Sex"|"5"|0,00466479697548263
0,058402|0,099536|0,16005|"HLA-DQB1"|"Geuvadis"|"Lab"|"5"|0,00471845892191008
0,999999|1,085627|0,019614|"HLA-DQB1"|"NAfr"|"Lab+Sex"|"5"|0,0573771698298092
0,999999|1,080948|0,016201|"HLA-DQB1"|"NAfr"|"Lab"|"5"|0,0571298769956833
0,999998|0,683483|0,5|"HLA-DRA"|"Full"|"Lab+Sex"|"5"|0,0324002015283301
0,999998|0,682114|0,5|"HLA-DRA"|"Full"|"Lab"|"5"|0,0323353047044262
0,066285|0,079416|0,039558|"HLA-DRA"|"Geuvadis"|"Lab+Sex"|"5"|0,00376467945007244
0,066267|0,079401|0,039622|"HLA-DRA"|"Geuvadis"|"Lab"|"5"|0,00376396838187773
0,999999|0,736138|0,00014588|"HLA-DRA"|"NAfr"|"Lab"|"5"|0,038906102228644
0,999998|0,568258|2,2535e-12|"HLA-DRB1"|"Full"|"Lab+Sex"|"5"|0,0269380126792997
0,999998|0,567658|1,8223e-12|"HLA-DRB1"|"Full"|"Lab"|"5"|0,0269095699515113
0,619615|0,196553|3,3307e-16|"HLA-DRB1"|"Geuvadis"|"Lab+Sex"|"5"|0,00931750579165519
0,62063|0,196466|2,7756e-16|"HLA-DRB1"|"Geuvadis"|"Lab"|"5"|0,00931338159612588
0,999999|0,824465|0,00045249|"HLA-DRB1"|"NAfr"|"Lab+Sex"|"5"|0,0435743292343813
0,999999|0,8222|0,00036279|"HLA-DRB1"|"NAfr"|"Lab"|"5"|0,0434546202646665
