"heritEstimate"|"heritSE"|"heritP"|"geneExp"|"subPop"|"covs"|"VIF"
0,208342|0,134723|1,6015e-05|"HLA-DQA1"|"Geuvadis"|"Lab+Sex"|"2.5"
0,207182|0,133832|1,5636e-05|"HLA-DQA1"|"Geuvadis"|"Lab"|"2.5"
0,999999|1,172915|0,084807|"HLA-DQA1"|"NAfr"|"Lab+Sex"|"2.5"
0,999999|1,171422|0,05584|"HLA-DQA1"|"NAfr"|"Lab"|"2.5"
0,840171|1,036262|0,12465|"HLA-DQB1"|"Full"|"Pop+Lab+Sex"|"2.5"
0,999998|1,028781|0,5|"HLA-DQB1"|"Full"|"Lab+Sex"|"2.5"
0,999998|1,035344|0,5|"HLA-DQB1"|"Full"|"Lab"|"2.5"
0,217418|0,195641|0,11845|"HLA-DQB1"|"Geuvadis"|"Pop+Lab+Sex"|"2.5"
0,063204|0,109648|0,17065|"HLA-DQB1"|"Geuvadis"|"Lab+Sex"|"2.5"
0,065765|0,110484|0,15895|"HLA-DQB1"|"Geuvadis"|"Lab"|"2.5"
0,999999|1,140512|0,049457|"HLA-DQB1"|"NAfr"|"Lab+Sex"|"2.5"
0,999999|1,135731|0,03154|"HLA-DQB1"|"NAfr"|"Lab"|"2.5"
0,999997|1,191178|0,5|"HLA-DRA"|"Full"|"Pop+Lab+Sex"|"2.5"
0,999997|0,6624|0,5|"HLA-DRA"|"Full"|"Lab+Sex"|"2.5"
0,999997|0,661091|0,5|"HLA-DRA"|"Full"|"Lab"|"2.5"
2e-06|0,180254|0,5|"HLA-DRA"|"Geuvadis"|"Pop+Lab+Sex"|"2.5"
0,077809|0,091546|0,037196|"HLA-DRA"|"Geuvadis"|"Lab+Sex"|"2.5"
0,077842|0,091579|0,037223|"HLA-DRA"|"Geuvadis"|"Lab"|"2.5"
0,999998|1,2397|0,14673|"HLA-DRA"|"NAfr"|"Pop+Lab+Sex"|"2.5"
0,999999|0,749841|0,00014626|"HLA-DRA"|"NAfr"|"Lab+Sex"|"2.5"
0,999999|0,748847|0,00017163|"HLA-DRA"|"NAfr"|"Lab"|"2.5"
0,999997|0,944084|0,5|"HLA-DRB1"|"Full"|"Pop+Lab+Sex"|"2.5"
0,999997|0,628814|6,8506e-09|"HLA-DRB1"|"Full"|"Lab+Sex"|"2.5"
0,999997|0,62846|4,5286e-09|"HLA-DRB1"|"Full"|"Lab"|"2.5"
0,643349|0,230321|0,00084568|"HLA-DRB1"|"Geuvadis"|"Pop+Lab+Sex"|"2.5"
0,664393|0,209952|3,3307e-16|"HLA-DRB1"|"Geuvadis"|"Lab+Sex"|"2.5"
0,665324|0,209825|3,3307e-16|"HLA-DRB1"|"Geuvadis"|"Lab"|"2.5"
0,999999|1,248512|0,0036114|"HLA-DRB1"|"NAfr"|"Pop+Lab+Sex"|"2.5"
0,999999|0,844926|0,00033622|"HLA-DRB1"|"NAfr"|"Lab+Sex"|"2.5"
0,999999|0,841741|0,00044117|"HLA-DRB1"|"NAfr"|"Lab"|"2.5"
0,999998|0,826185|0,034724|"HLA-A"|"Full"|"Pop+Lab+Sex"|"5"
0,950124|0,744149|0,00015155|"HLA-A"|"Full"|"Lab+Sex"|"5"
0,946242|0,73939|0,0001391|"HLA-A"|"Full"|"Lab"|"5"
0,554332|0,204182|0,00097961|"HLA-A"|"Geuvadis"|"Pop+Lab+Sex"|"5"
0,553783|0,19722|4,6589e-06|"HLA-A"|"Geuvadis"|"Lab+Sex"|"5"
0,544919|0,196031|4,7229e-06|"HLA-A"|"Geuvadis"|"Lab"|"5"
0,999999|0,985605|0,051323|"HLA-A"|"NAfr"|"Lab+Sex"|"5"
0,966002|0,972359|0,16485|"HLA-A"|"NAfr"|"Lab"|"5"
2e-06|0,491164|0,5|"HLA-B"|"Full"|"Pop+Lab+Sex"|"5"
0,197739|0,236329|0,0041416|"HLA-B"|"Full"|"Lab+Sex"|"5"
0,192031|0,228125|0,0040104|"HLA-B"|"Full"|"Lab"|"5"
0,003726|0,164436|0,49098|"HLA-B"|"Geuvadis"|"Pop+Lab+Sex"|"5"
0,127455|0,114646|0,0051418|"HLA-B"|"Geuvadis"|"Lab+Sex"|"5"
0,12609|0,113136|0,0049028|"HLA-B"|"Geuvadis"|"Lab"|"5"
0,45807|1,257018|0,36923|"HLA-B"|"NAfr"|"Pop+Lab+Sex"|"5"
2e-06|0,702357|0,5|"HLA-B"|"NAfr"|"Lab+Sex"|"5"
2e-06|0,742669|0,5|"HLA-B"|"NAfr"|"Lab"|"5"
0,999998|0,814066|0,042912|"HLA-C"|"Full"|"Pop+Lab+Sex"|"5"
0,953994|0,772872|0,00054441|"HLA-C"|"Full"|"Lab+Sex"|"5"
0,999998|0,790905|0,00048329|"HLA-C"|"Full"|"Lab"|"5"
0,611246|0,206872|0,00032957|"HLA-C"|"Geuvadis"|"Pop+Lab+Sex"|"5"
0,581679|0,199206|7,6925e-06|"HLA-C"|"Geuvadis"|"Lab+Sex"|"5"
0,58742|0,198318|6,1646e-06|"HLA-C"|"Geuvadis"|"Lab"|"5"
0,999999|1,240385|0,011036|"HLA-C"|"NAfr"|"Pop+Lab+Sex"|"5"
0,999999|1,141296|0,071956|"HLA-C"|"NAfr"|"Lab+Sex"|"5"
0,999999|1,134998|0,10305|"HLA-C"|"NAfr"|"Lab"|"5"
1e-06|0,57599|0,5|"HLA-DPA1"|"Full"|"Pop+Lab+Sex"|"5"
0,270144|0,311727|0,001071|"HLA-DPA1"|"Full"|"Lab+Sex"|"5"
0,269429|0,312159|0,0011454|"HLA-DPA1"|"Full"|"Lab"|"5"
1e-06|0,175423|0,5|"HLA-DPA1"|"Geuvadis"|"Pop+Lab+Sex"|"5"
0,078605|0,072191|0,0057984|"HLA-DPA1"|"Geuvadis"|"Lab+Sex"|"5"
0,077929|0,071991|0,0061707|"HLA-DPA1"|"Geuvadis"|"Lab"|"5"
1e-06|1,13566|0,5|"HLA-DPA1"|"NAfr"|"Pop+Lab+Sex"|"5"
0,999999|1,002507|0,050943|"HLA-DPA1"|"NAfr"|"Lab+Sex"|"5"
0,999999|1,001287|0,059958|"HLA-DPA1"|"NAfr"|"Lab"|"5"
0,428008|0,654232|0,22286|"HLA-DPB1"|"Full"|"Pop+Lab+Sex"|"5"
0,999998|0,575789|5,8096e-12|"HLA-DPB1"|"Full"|"Lab+Sex"|"5"
0,999998|0,574543|5,8764e-12|"HLA-DPB1"|"Full"|"Lab"|"5"
0,172686|0,178718|0,15355|"HLA-DPB1"|"Geuvadis"|"Pop+Lab+Sex"|"5"
0,334162|0,152673|4,872e-12|"HLA-DPB1"|"Geuvadis"|"Lab+Sex"|"5"
0,334696|0,152737|4,742e-12|"HLA-DPB1"|"Geuvadis"|"Lab"|"5"
0,999998|1,138848|0,077945|"HLA-DPB1"|"NAfr"|"Pop+Lab+Sex"|"5"
0,999999|0,699906|0,00010141|"HLA-DPB1"|"NAfr"|"Lab+Sex"|"5"
0,999999|0,697005|9,6987e-05|"HLA-DPB1"|"NAfr"|"Lab"|"5"
0,256778|0,5824|0,31483|"HLA-DQA1"|"Full"|"Pop+Lab+Sex"|"5"
0,4569|0,440605|5,8917e-06|"HLA-DQA1"|"Full"|"Lab+Sex"|"5"
0,451684|0,434229|5,7103e-06|"HLA-DQA1"|"Full"|"Lab"|"5"
0,138189|0,176624|0,20762|"HLA-DQA1"|"Geuvadis"|"Pop+Lab+Sex"|"5"
0,190493|0,124316|1,4949e-05|"HLA-DQA1"|"Geuvadis"|"Lab+Sex"|"5"
0,189518|0,123541|1,4571e-05|"HLA-DQA1"|"Geuvadis"|"Lab"|"5"
0,999999|1,147759|0,013618|"HLA-DQA1"|"NAfr"|"Pop+Lab+Sex"|"5"
0,999999|1,124326|0,12433|"HLA-DQA1"|"NAfr"|"Lab+Sex"|"5"
0,999999|1,123908|0,045559|"HLA-DQA1"|"NAfr"|"Lab"|"5"
0,767001|0,770263|0,089884|"HLA-DQB1"|"Full"|"Pop+Lab+Sex"|"5"
0,895308|0,83544|0,070063|"HLA-DQB1"|"Full"|"Lab+Sex"|"5"
0,829347|0,796931|0,070385|"HLA-DQB1"|"Full"|"Lab"|"5"
0,20183|0,181768|0,1187|"HLA-DQB1"|"Geuvadis"|"Pop+Lab+Sex"|"5"
0,055801|0,098404|0,1723|"HLA-DQB1"|"Geuvadis"|"Lab+Sex"|"5"
0,058402|0,099536|0,16005|"HLA-DQB1"|"Geuvadis"|"Lab"|"5"
0,999999|1,17303|0,045149|"HLA-DQB1"|"NAfr"|"Pop+Lab+Sex"|"5"
0,999999|1,085627|0,019614|"HLA-DQB1"|"NAfr"|"Lab+Sex"|"5"
0,999999|1,080948|0,016201|"HLA-DQB1"|"NAfr"|"Lab"|"5"
0,675258|0,827044|0,17769|"HLA-DRA"|"Full"|"Pop+Lab+Sex"|"5"
0,999998|0,683483|0,5|"HLA-DRA"|"Full"|"Lab+Sex"|"5"
0,999998|0,682114|0,5|"HLA-DRA"|"Full"|"Lab"|"5"
2e-06|0,167113|0,5|"HLA-DRA"|"Geuvadis"|"Pop+Lab+Sex"|"5"
0,066285|0,079416|0,039558|"HLA-DRA"|"Geuvadis"|"Lab+Sex"|"5"
0,066267|0,079401|0,039622|"HLA-DRA"|"Geuvadis"|"Lab"|"5"
0,999998|1,167554|0,5|"HLA-DRA"|"NAfr"|"Pop+Lab+Sex"|"5"
0,999999|0,736138|0,00014588|"HLA-DRA"|"NAfr"|"Lab"|"5"
0,999997|0,732456|0,5|"HLA-DRB1"|"Full"|"Pop+Lab+Sex"|"5"
0,999998|0,568258|2,2535e-12|"HLA-DRB1"|"Full"|"Lab+Sex"|"5"
0,999998|0,567658|1,8223e-12|"HLA-DRB1"|"Full"|"Lab"|"5"
0,614848|0,215996|0,0006944|"HLA-DRB1"|"Geuvadis"|"Pop+Lab+Sex"|"5"
0,619615|0,196553|3,3307e-16|"HLA-DRB1"|"Geuvadis"|"Lab+Sex"|"5"
0,62063|0,196466|2,7756e-16|"HLA-DRB1"|"Geuvadis"|"Lab"|"5"
0,999999|1,173746|0,0042774|"HLA-DRB1"|"NAfr"|"Pop+Lab+Sex"|"5"
0,999999|0,824465|0,00045249|"HLA-DRB1"|"NAfr"|"Lab+Sex"|"5"
0,999999|0,8222|0,00036279|"HLA-DRB1"|"NAfr"|"Lab"|"5"
